排名: 195 	 电影名字: 奇迹男孩 		 评分: 8.6 	 
排名: 196 	 电影名字: 人工智能 		 评分: 8.6 	 
排名: 197 	 电影名字: 雨中曲 		 评分: 9.0 	 
排名: 198 	 电影名字: 疯狂的石头 		 评分: 8.5 	 
排名: 199 	 电影名字: 罗生门 		 评分: 8.8 	 
排名: 200 	 电影名字: 海洋 		 评分: 9.1 	 
排名: 201 	 电影名字: 爱在午夜降临前 		 评分: 8.8 	 
排名: 202 	 电影名字: 小偷家族 		 评分: 8.7 	 
排名: 203 	 电影名字: 终结者2：审判日 		 评分: 8.7 	 
排名: 204 	 电影名字: 初恋这件小事 		 评分: 8.4 	 
排名: 205 	 电影名字: 魂断蓝桥 		 评分: 8.8 	 
排名: 206 	 电影名字: 燃情岁月 		 评分: 8.8 	 
排名: 207 	 电影名字: 可可西里 		 评分: 8.8 	 
排名: 208 	 电影名字: 穿越时空的少女 		 评分: 8.6 	 
排名: 209 	 电影名字: 绿里奇迹 		 评分: 8.8 	 
排名: 210 	 电影名字: 2001太空漫游 		 评分: 8.8 	 
排名: 211 	 电影名字: 牯岭街少年杀人事件 		 评分: 8.8 	 
排名: 212 	 电影名字: 完美陌生人 		 评分: 8.5 	 
排名: 213 	 电影名字: 城市之光 		 评分: 9.3 	 
排名: 214 	 电影名字: 无耻混蛋 		 评分: 8.6 	 
排名: 215 	 电影名字: 阿飞正传 		 评分: 8.5 	 
排名: 216 	 电影名字: 新龙门客栈 		 评分: 8.6 	 
排名: 217 	 电影名字: 源代码 		 评分: 8.4 	 
排名: 218 	 电影名字: 香水 		 评分: 8.5 	 
排名: 219 	 电影名字: 谍影重重2 		 评分: 8.6 	 
排名: 220 	 电影名字: 青蛇 		 评分: 8.5 	 
排名: 221 	 电影名字: 地球上的星星 		 评分: 8.9 	 
排名: 222 	 电影名字: 谍影重重 		 评分: 8.6 	 
排名: 223 	 电影名字: 战争之王 		 评分: 8.6 	 
排名: 224 	 电影名字: 血钻 		 评分: 8.7 	 
排名: 225 	 电影名字: 猜火车 		 评分: 8.5 	 
排名: 226 	 电影名字: 色，戒 		 评分: 8.4 	 
排名: 227 	 电影名字: 遗愿清单 		 评分: 8.6 	 
排名: 228 	 电影名字: 大佛普拉斯 		 评分: 8.7 	 
排名: 229 	 电影名字: 疯狂的麦克斯4：狂暴之路 		 评分: 8.6 	 
排名: 230 	 电影名字: 步履不停 		 评分: 8.8 	 
排名: 231 	 电影名字: 彗星来的那一夜 		 评分: 8.5 	 
排名: 232 	 电影名字: 朗读者 		 评分: 8.6 	 
排名: 233 	 电影名字: 浪潮 		 评分: 8.7 	 
排名: 234 	 电影名字: 小萝莉的猴神大叔 		 评分: 8.4 	 
排名: 235 	 电影名字: 再次出发之纽约遇见你 		 评分: 8.5 	 
排名: 236 	 电影名字: 聚焦 		 评分: 8.8 	 
排名: 237 	 电影名字: 驴得水 		 评分: 8.3 	 
排名: 238 	 电影名字: 东京物语 		 评分: 9.2 	 
排名: 239 	 电影名字: 追随 		 评分: 8.9 	 
排名: 240 	 电影名字: 一次别离 		 评分: 8.7 	 
排名: 241 	 电影名字: 九品芝麻官 		 评分: 8.5 	 
排名: 242 	 电影名字: 千钧一发 		 评分: 8.8 	 
排名: 243 	 电影名字: 我爱你 		 评分: 9.0 	 
排名: 244 	 电影名字: 黑鹰坠落 		 评分: 8.7 	 
排名: 245 	 电影名字: 哈利·波特与火焰杯 		 评分: 8.5 	 
排名: 246 	 电影名字: 四个春天 		 评分: 8.9 	 
排名: 247 	 电影名字: 网络谜踪 		 评分: 8.6 	 
排名: 248 	 电影名字: 发条橙 		 评分: 8.5 	 
排名: 249 	 电影名字: E.T. 外星人 		 评分: 8.6 	 
排名: 250 	 电影名字: 黑客帝国2：重装上阵 		 评分: 8.6 	 
